狗		1	{"pinyin": "gou3", "word_sp": "狗", "word_tr": "狗", "glosses": ["dog", "CL:隻|只[zhi1],條|条[tiao2]"]}
汉语		1	{"pinyin": "Han4 yu3", "word_sp": "汉语", "word_tr": "漢語", "glosses": ["Chinese language", "CL:門|门[men2]"]}
好		1	{"pinyin": "hao3", "word_sp": "好", "word_tr": "好", "glosses": ["good", "well", "proper", "good to", "easy to", "very", "so", "(suffix indicating completion or readiness)", "(of an unmarried couple) to be close", "to be keen on each other"]}
号		1	{"pinyin": "hao4", "word_sp": "号", "word_tr": "號", "glosses": ["ordinal number", "day of a month", "mark", "sign", "business establishment", "size", "ship suffix", "horn (wind instrument)", "bugle call", "assumed name", "to take a pulse", "classifier used to indicate number of people"]}
喝		1	{"pinyin": "he1", "word_sp": "喝", "word_tr": "喝", "glosses": ["to drink", "My goodness!"]}
和		1	{"pinyin": "he2", "word_sp": "和", "word_tr": "和", "glosses": ["and", "together with", "with", "sum", "union", "peace", "harmony", "Taiwan pr. [han4] when it means \"and\" or \"with\""]}
很		1	{"pinyin": "hen3", "word_sp": "很", "word_tr": "很", "glosses": ["(adverb of degree)", "quite", "very", "awfully"]}
后面		1	{"pinyin": "hou4 mian5", "word_sp": "后面", "word_tr": "後面", "glosses": ["rear", "back", "behind", "later", "afterwards"]}
回		1	{"pinyin": "hui2", "word_sp": "回", "word_tr": "回", "glosses": ["to circle", "to go back", "to turn around", "to answer", "to return", "to revolve", "Hui ethnic group (Chinese Muslims)", "time", "classifier for acts of a play", "section or chapter (of a classic book)"]}
会		1	{"pinyin": "hui4", "word_sp": "会", "word_tr": "會", "glosses": ["can", "to be possible", "to be able to", "will", "to be likely to", "to be sure to", "to assemble", "to meet", "to gather", "to see", "union", "group", "association", "CL:個|个[ge4]", "a moment (Taiwan pr. for this sense is [hui3])"]}
几		1	{"pinyin": "ji3", "word_sp": "几", "word_tr": "幾", "glosses": ["how much", "how many", "several", "a few"]}
家		1	{"pinyin": "jia1", "word_sp": "家", "word_tr": "家", "glosses": ["home", "family", "(polite) my (sister, uncle etc)", "classifier for families or businesses", "refers to the philosophical schools of pre-Han China", "noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian", "CL:個|个[ge4]"]}
叫		1	{"pinyin": "jiao4", "word_sp": "叫", "word_tr": "叫", "glosses": ["to shout", "to call", "to order", "to ask", "to be called", "by (indicates agent in the passive mood)"]}
今天		1	{"pinyin": "jin1 tian1", "word_sp": "今天", "word_tr": "今天", "glosses": ["today", "at the present", "now"]}
九		1	{"pinyin": "jiu3", "word_sp": "九", "word_tr": "九", "glosses": ["nine", "9"]}
开		1	{"pinyin": "kai1", "word_sp": "开", "word_tr": "開", "glosses": ["to open", "to start", "to turn on", "to boil", "to write out (a prescription, check, invoice etc)", "to operate (a vehicle)", "carat (gold)", "abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]", "abbr. for 開本|开本[kai1 ben3], book format"]}
看		1	{"pinyin": "kan4", "word_sp": "看", "word_tr": "看", "glosses": ["to see", "to look at", "to read", "to watch", "to visit", "to call on", "to consider", "to regard as", "to look after", "to treat (an illness)", "to depend on", "to feel (that)", "(after verb) to give it a try", "Watch out! (for a danger)"]}
看见		1	{"pinyin": "kan4 jian4", "word_sp": "看见", "word_tr": "看見", "glosses": ["to see", "to catch sight of"]}
块		1	{"pinyin": "kuai4", "word_sp": "块", "word_tr": "塊", "glosses": ["lump (of earth)", "chunk", "piece", "classifier for pieces of cloth, cake, soap etc", "(coll.) classifier for money and currency units"]}
来		1	{"pinyin": "lai2", "word_sp": "来", "word_tr": "來", "glosses": ["to come", "to arrive", "to come round", "ever since", "next"]}
老师		1	{"pinyin": "lao3 shi1", "word_sp": "老师", "word_tr": "老師", "glosses": ["teacher", "CL:個|个[ge4],位[wei4]"]}
了		1	{"pinyin": "le5", "word_sp": "了", "word_tr": "了", "glosses": ["(modal particle intensifying preceding clause)", "(completed action marker)"]}
冷		1	{"pinyin": "leng3", "word_sp": "冷", "word_tr": "冷", "glosses": ["cold"]}
里		1	{"pinyin": "li3", "word_sp": "里", "word_tr": "裡", "glosses": ["lining", "interior", "inside", "internal", "also written 裏|里[li3]"]}
六		1	{"pinyin": "liu4", "word_sp": "六", "word_tr": "六", "glosses": ["six", "6"]}
妈妈		1	{"pinyin": "ma1 ma5", "word_sp": "妈妈", "word_tr": "媽媽", "glosses": ["mama", "mommy", "mother", "CL:個|个[ge4],位[wei4]"]}
吗		1	{"pinyin": "ma5", "word_sp": "吗", "word_tr": "嗎", "glosses": ["(question particle for \"yes-no\" questions)"]}
买		1	{"pinyin": "mai3", "word_sp": "买", "word_tr": "買", "glosses": ["to buy", "to purchase"]}
猫		1	{"pinyin": "mao1", "word_sp": "猫", "word_tr": "貓", "glosses": ["cat", "CL:隻|只[zhi1]", "(dialect) to hide oneself", "(coll.) modem"]}
没关系		1	{"pinyin": "mei2 guan1 xi5", "word_sp": "没关系", "word_tr": "沒關係", "glosses": ["it doesn't matter"]}
没有		1	{"pinyin": "mei2 you3", "word_sp": "没有", "word_tr": "沒有", "glosses": ["haven't", "hasn't", "doesn't exist", "to not have", "to not be"]}
米饭		1	{"pinyin": "mi3 fan4", "word_sp": "米饭", "word_tr": "米飯", "glosses": ["(cooked) rice"]}
名字		1	{"pinyin": "ming2 zi5", "word_sp": "名字", "word_tr": "名字", "glosses": ["name (of a person or thing)", "CL:個|个[ge4]"]}
明天		1	{"pinyin": "ming2 tian1", "word_sp": "明天", "word_tr": "明天", "glosses": ["tomorrow"]}
哪		1	{"pinyin": "na3", "word_sp": "哪", "word_tr": "哪", "glosses": ["how", "which"]}
哪		1	{"pinyin": "nei3", "word_sp": "哪", "word_tr": "哪", "glosses": ["which? (interrogative, followed by classifier or numeral-classifier)"]}
哪儿		1	{"pinyin": "na3 r5", "word_sp": "哪儿", "word_tr": "哪兒", "glosses": ["where?", "wherever", "anywhere"]}
那		1	{"pinyin": "na4", "word_sp": "那", "word_tr": "那", "glosses": ["that", "those", "then (in that case)", "commonly pr. [nei4] before a classifier, esp. in Beijing"]}
呢		1	{"pinyin": "ne5", "word_sp": "呢", "word_tr": "呢", "glosses": ["particle indicating that a previously asked question is to be applied to the preceding word (\"What about ...?\", \"And ...?\")", "particle for inquiring about location (\"Where is ...?\")", "particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (\"ok?\", \"are you with me?\")", "(at the end of a declarative sentence) particle indicating continuation of a state or action", "particle indicating strong affirmation"]}
能		1	{"pinyin": "neng2", "word_sp": "能", "word_tr": "能", "glosses": ["can", "to be able to", "might possibly", "ability", "(physics) energy"]}
你		1	{"pinyin": "ni3", "word_sp": "你", "word_tr": "你", "glosses": ["you (informal, as opposed to courteous 您[nin2])"]}
年		1	{"pinyin": "nian2", "word_sp": "年", "word_tr": "年", "glosses": ["year", "CL:個|个[ge4]"]}
女儿		1	{"pinyin": "nu:3 er2", "word_sp": "女儿", "word_tr": "女兒", "glosses": ["daughter"]}
朋友		1	{"pinyin": "peng2 you5", "word_sp": "朋友", "word_tr": "朋友", "glosses": ["friend", "CL:個|个[ge4],位[wei4]"]}
漂亮		1	{"pinyin": "piao4 liang5", "word_sp": "漂亮", "word_tr": "漂亮", "glosses": ["pretty", "beautiful"]}
苹果		1	{"pinyin": "ping2 guo3", "word_sp": "苹果", "word_tr": "蘋果", "glosses": ["apple", "CL:個|个[ge4],顆|颗[ke1]"]}
七		1	{"pinyin": "qi1", "word_sp": "七", "word_tr": "七", "glosses": ["seven", "7"]}
前面		1	{"pinyin": "qian2 mian4", "word_sp": "前面", "word_tr": "前面", "glosses": ["ahead", "in front", "preceding", "above"]}
钱		1	{"pinyin": "qian2", "word_sp": "钱", "word_tr": "錢", "glosses": ["coin", "money", "CL:筆|笔[bi3]", "unit of weight, one tenth of a tael 兩|两[liang3]"]}
请		1	{"pinyin": "qing3", "word_sp": "请", "word_tr": "請", "glosses": ["to ask", "to invite", "please (do sth)", "to treat (to a meal etc)", "to request"]}
去		1	{"pinyin": "qu4", "word_sp": "去", "word_tr": "去", "glosses": ["to go", "to go to (a place)", "to cause to go or send (sb)", "to remove", "to get rid of", "(when used either before or after a verb) to go in order to do sth", "to be apart from in space or time", "(after a verb of motion indicates movement away from the speaker)", "(used after certain verbs to indicate detachment or separation)", "(of a time or an event etc) just passed or elapsed"]}
热		1	{"pinyin": "re4", "word_sp": "热", "word_tr": "熱", "glosses": ["to warm up", "to heat up", "hot (of weather)", "heat", "fervent"]}
人		1	{"pinyin": "ren2", "word_sp": "人", "word_tr": "人", "glosses": ["man", "person", "people", "CL:個|个[ge4],位[wei4]"]}
